SID1 SID2 HetHet IBS0 Kinship
S1000025 S2025656 0.045 0.0144 0.061
S1000130 S3375759 0.047 0.0133 0.0739
S1000130 S4655841 0.048 0.0138 0.0746
S1000201 S4780816 0.045 0.0151 0.0523
S1000201 S5599428 0.055 0.0087 0.137
S1000244 S3376311 0.043 0.0153 0.0477
S1000339 S3336101 0.052 0.0094 0.1232
S1000350 S3070503 0.078 0.0034 0.2658
S1000350 S3298802 0.066 0.0001 0.2483
S1000365 S4011810 0.077 0.0048 0.2545
S1000377 S5366469 0.073 0.0056 0.2272
S1000404 S5959268 0.077 0.004 0.2593
S1000418 S4552835 0.047 0.014 0.0674
S1000429 S3729919 0.068 0 0.252
S1000437 S4772726 0.047 0.0142 0.0675
S1000663 S4762461 0.045 0.0152 0.0538
S1000736 S3515069 0.046 0.0141 0.0672
S1000736 S5930433 0.047 0.014 0.0708
S1000755 S4584409 0.072 0.0048 0.2319
S1000822 S5039042 0.056 0.0076 0.1509
S1000854 S1922893 0.048 0.0138 0.0739
S1000854 S2761803 0.049 0.013 0.0841
S1000923 S2513785 0.045 0.0151 0.0539
S1000923 S5241609 0.045 0.0151 0.051
S1000968 S1985359 0.047 0.0135 0.0685
S1000968 S3435260 0.048 0.0139 0.0724
S1000984 S3831382 0.045 0.015 0.0502
S1001024 S2768884 0.066 0.0001 0.2453
S1001225 S3583153 0.045 0.0147 0.0557
S1001305 S1436232 0.045 0.0146 0.0563
S1001305 S4775810 0.044 0.0154 0.0485
S1001312 S2074418 0.044 0.0151 0.0497
S1001596 S3266473 0.062 0.0085 0.1672
S1001658 S2584978 0.046 0.0147 0.0565
S1001819 S4877625 0.046 0.0144 0.0632
S1001834 S5491164 0.048 0.0142 0.0718
S1001966 S3311444 0.045 0.0154 0.0532
S1002014 S3820748 0.075 0.0055 0.2369
S1002136 S3817029 0.047 0.0144 0.0661
S1002247 S4422943 0.076 0.0045 0.2537
S1002247 S6005404 0.047 0.0141 0.0684
S1002271 S3098518 0.045 0.0162 0.0459
S1002463 S2018119 0.044 0.0145 0.0558
S1002501 S5317600 0.045 0.0156 0.0476
S1002544 S4160220 0.046 0.0154 0.053
S1002708 S4600496 0.066 0 0.2488
S1002730 S1333667 0.045 0.0147 0.0587
S1002816 S2295175 0.055 0.0082 0.1427
S1002910 S3356746 0.045 0.0148 0.0553
S1002910 S4476996 0.046 0.0156 0.0533
S1002954 S1502622 0.077 0.0036 0.2647
S1002954 S5295822 0.044 0.0157 0.0447
S1003045 S2178975 0.046 0.0142 0.0625
S1003076 S2666665 0.046 0.0151 0.0568
S1003076 S5198173 0.078 0.0052 0.2497
S1003076 S5464054 0.044 0.015 0.0465
S1003278 S3666597 0.082 0.0043 0.2757
S1003357 S1677640 0.044 0.0152 0.0501
S1003357 S4201098 0.054 0.0092 0.1345
S1003379 S3388002 0.047 0.0133 0.0669
S1003379 S4157475 0.043 0.015 0.0447
S1003406 S4308752 0.076 0.005 0.2475
S1003421 S5764586 0.048 0.0141 0.0723
S1003443 S3160616 0.052 0.0109 0.1104
S1003450 S1172536 0.066 0.0001 0.25
S1003492 S2590026 0.045 0.0142 0.0629
S1003508 S2339881 0.045 0.0156 0.0486
S1003508 S5542729 0.048 0.0126 0.084
S1003609 S2547820 0.075 0.0045 0.2437
S1003609 S2844365 0.046 0.0137 0.0672
S1003660 S4952544 0.056 0.0072 0.1569
S1004094 S2006589 0.047 0.0129 0.076
S1004100 S4786609 0.045 0.0148 0.0528
S1004189 S2906199 0.047 0.0135 0.0755
S1004193 S4600748 0.045 0.0147 0.0571
S1004288 S2262115 0.046 0.0137 0.0663
S1004313 S2396643 0.066 0 0.2481
S1004563 S3076364 0.046 0.0134 0.068
S1004563 S3201806 0.066 0.0001 0.2447
S1004633 S5456689 0.078 0.0033 0.2643
S1004647 S3603013 0.045 0.0145 0.0587
S1004853 S1070670 0.047 0.0134 0.0743
S1004936 S1616524 0.047 0.0142 0.0689
S1004936 S1769654 0.046 0.0153 0.0574
S1004936 S5239639 0.052 0.009 0.1268
S1004936 S5553539 0.046 0.0141 0.0654
S1004955 S1746475 0.046 0.0142 0.0623
S1005126 S4872419 0.048 0.0126 0.081
S1005132 S2536560 0.041 0.0143 0.0453
S1005132 S3094118 0.042 0.014 0.0499
S1005132 S4342042 0.041 0.0144 0.0457
S1005132 S4896180 0.04 0.0138 0.0444
S1005132 S4909278 0.041 0.014 0.045
S1005132 S5130155 0.04 0.0134 0.0484
S1005167 S1199790 0.045 0.015 0.0574
S1005266 S1180634 0.047 0.0138 0.0695
S1005282 S1954190 0.045 0.015 0.0554
S1005319 S4909683 0.071 0.0049 0.2328
S1005363 S1388727 0.046 0.0132 0.0644
